% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.843660841e+05 +3.843660841e+05 +3.853660841e+05 +3.853660841e+05 +2.4187e-03 +1.0084e+00 -3.2263e+00 +3.0453e+00 +2.4819e+00 -4.2266e+00 -1.7857e+00 -1.6950e+00 +9.9882e-01 +2.4102e+00 +4.3096e+00 -2.7616e+00 +2.0542e+00 +1.0209e+00 +3.0653e+00 +4.8255e+00 +3.9480e+00 +2.7204e+00 -9.9599e-01 +3.3554e+00
2 +1.104542620e+05 +1.104542620e+05 +1.114542620e+05 +1.114542620e+05 -1.8221e+00 -3.6217e+00 -4.0022e+00 -4.4328e+00 +6.3521e-01 +3.0188e+00 -3.0618e+00 -1.5479e+00 +3.9727e+00 -4.7227e+00 +5.8280e-01 -4.2650e+00 -1.1750e+00 +1.7664e+00 -1.5222e+00 -3.2318e+00 +1.0887e+00 +3.2015e+00 -1.7617e+00 -6.5751e-01
16 +9.576765550e+04 +9.576765550e+04 +9.676765550e+04 +9.676765550e+04 -4.3764e+00 -3.8388e+00 -8.4661e-01 +3.3279e+00 -4.1017e+00 +3.1589e+00 -4.9884e+00 -3.2387e+00 -2.6982e+00 +2.9194e-01 -2.4552e-01 +1.9842e+00 -5.7381e-01 -4.0239e+00 -4.8561e+00 +8.2637e-01 -2.4004e+00 +1.7969e+00 +7.8514e-01 -5.9264e-01
26 +7.350120904e+04 +7.350120904e+04 +7.450120904e+04 +7.450120904e+04 -4.2510e+00 -4.4975e-01 +4.7600e+00 +4.5804e-01 +3.1457e+00 -4.4415e-01 +1.4314e+00 +1.9695e+00 +1.4412e+00 -1.8944e+00 +8.1068e-01 +8.2611e-02 +3.5407e+00 +7.4503e-01 -3.7237e+00 +8.6707e-01 -1.9128e+00 +1.3490e+00 +3.6088e-01 +2.1600e+00
60 +3.164891800e+04 +3.164891800e+04 +3.264891800e+04 +3.264891800e+04 -4.0438e+00 +1.4629e+00 +3.1894e+00 -3.3462e+00 +2.5920e+00 -4.1979e+00 -1.3633e+00 -2.9449e+00 -3.0109e+00 +1.7998e+00 -4.4615e+00 +2.1032e+00 -3.1763e-01 +4.9497e-01 +4.4854e-01 -3.3382e+00 -1.1627e+00 -2.3341e+00 -1.5385e+00 +3.0372e-01
322 +3.119986667e+04 +3.119986667e+04 +3.219986667e+04 +3.219986667e+04 +3.9456e+00 +4.3570e+00 -4.3324e+00 -3.2718e+00 -3.8658e+00 +3.4670e+00 -1.3486e+00 +4.1485e+00 -3.3125e+00 -1.1111e+00 +7.3178e-01 -3.8696e+00 +6.1073e-01 -1.1238e+00 -2.2897e-01 -3.5165e+00 +3.8864e-01 -4.6549e+00 -2.5336e-01 +3.7262e+00
496 +1.399079934e+04 +1.399079934e+04 +1.499079934e+04 +1.499079934e+04 +1.5580e+00 -2.3721e-01 +3.4439e+00 -2.8221e+00 -3.2106e+00 +2.3326e+00 -1.9800e+00 +7.2987e-02 -3.2459e+00 +6.1288e-01 -4.0846e+00 -1.8511e+00 -3.1299e+00 -6.3355e-02 -3.8154e+00 -5.9001e-01 -3.6954e+00 -1.8966e+00 -2.0998e+00 -2.1021e-01
2398 +1.333242009e+04 +1.333242009e+04 +1.433242009e+04 +1.433242009e+04 -3.5863e+00 -9.2821e-01 -1.2623e+00 +3.5340e+00 -4.8798e+00 -4.0127e+00 -4.6648e+00 +4.3629e-01 -1.4240e+00 -3.8646e+00 +1.9194e+00 -2.2484e+00 -3.3098e+00 -1.4224e+00 -8.3777e-01 -6.8814e-01 -1.4025e+00 -2.0752e+00 -1.5393e+00 +2.7897e+00
17676 +1.120411048e+04 +1.120411048e+04 +1.220411048e+04 +1.220411048e+04 +1.6660e+00 +3.9776e+00 -4.5107e+00 -2.4649e+00 +2.3272e+00 +3.7018e+00 +1.5602e+00 -1.7128e-02 +9.7942e-01 -4.1944e+00 +2.6380e-01 +2.8374e-01 -7.8649e-01 -3.9006e+00 +3.0560e-01 -2.9989e+00 +5.5561e-01 -2.9619e+00 -1.2040e+00 +1.0134e+00
46436 +5.617525573e+03 +5.617525573e+03 +6.617525573e+03 +6.617525573e+03 +2.0798e+00 +4.9095e+00 +2.2418e+00 +4.4690e-03 +1.4130e+00 -1.3463e+00 +2.2008e-02 +1.7999e+00 -1.1865e+00 +3.4771e-01 +1.9573e-01 -7.9876e-01 -2.1720e+00 -2.4106e-01 -2.5367e+00 -9.8255e-01 -3.2393e+00 -4.7176e-03 -2.7686e-01 +2.3421e+00
426272 +4.283284713e+03 +4.283284713e+03 +5.283284713e+03 +5.283284713e+03 -2.7115e+00 +3.6292e+00 -8.0341e-01 -2.2596e+00 -1.4998e+00 -1.4861e+00 -3.2492e+00 -1.1906e-01 -2.1265e+00 -2.6281e+00 -2.5243e+00 +8.3108e-01 -1.4392e+00 +2.7867e-01 -2.9138e+00 -2.7077e+00 -2.7833e+00 -1.0972e-01 -1.4896e+00 +1.4468e+00
529654 +7.763394539e+02 +7.763394539e+02 +1.776339454e+03 +1.776339454e+03 -5.1567e-01 +4.0045e+00 -1.2843e+00 +1.2284e+00 +4.3853e-01 -5.8275e-01 -1.5088e-01 +1.3150e+00 +2.0891e-01 -2.8390e+00 -1.7027e+00 -1.5996e-01 -1.2635e+00 -5.6370e-01 -1.6162e+00 -1.5647e+00 -1.0683e+00 -8.0320e-01 -2.7950e+00 +4.4420e-01
68280514 +7.305865329e+02 +7.305865329e+02 +1.730586533e+03 +1.730586533e+03 +1.7997e+00 +2.7584e+00 +1.4305e+00 -2.1274e-01 -1.3323e+00 -8.9305e-01 +6.7989e-01 +4.8304e-01 -6.9108e-01 +8.5457e-01 -2.4640e+00 -2.3277e+00 +4.4431e-01 -2.6164e+00 -4.6083e-01 -1.0315e+00 -2.4804e+00 -1.9273e+00 -1.0284e+00 +1.9363e+00
100345101 +4.070290298e+02 +4.070290298e+02 +1.407029030e+03 +1.407029030e+03 +2.9158e+00 +1.5480e+00 -4.3962e-01 +1.2450e+00 -3.5374e+00 -1.6251e+00 -2.2177e+00 +3.3882e-01 -4.7013e-01 -4.6832e-01 -1.6204e+00 -9.4186e-01 -2.2329e+00 -2.1576e+00 -1.2616e+00 -1.2233e-01 -1.3810e+00 -1.9961e+00 -1.9968e+00 +1.0336e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.851760342e+05 +1.851760342e+05 +1.853844142e+05 +1.853844142e+05 -2.3823e+00 +4.6397e+00 -6.7111e-02 -3.8878e+00 +1.6605e+00 -3.4787e+00 -3.5173e+00 -3.3066e+00 +4.7357e+00 +4.5800e+00 -3.0812e+00 -4.7407e+00 -2.0522e+00 -2.7058e+00 +4.7960e+00 +3.1292e+00 +8.4403e-01 +1.4090e+00 -1.3181e+00 +4.7934e+00
2 +1.342673475e+05 +1.342673475e+05 +1.344757275e+05 +1.344757275e+05 +9.4350e-01 +3.8898e+00 +4.5044e-01 +1.6235e+00 -2.9087e+00 -2.2433e+00 -1.7214e+00 +1.5286e+00 -1.0701e+00 +3.3429e+00 -2.0336e+00 -3.6538e+00 +3.3368e+00 -4.6218e+00 +7.0326e-01 -1.9805e+00 +1.9702e-01 -2.7586e+00 +2.7359e+00 +3.7950e+00
3 +1.202418819e+05 +1.202418819e+05 +1.204502619e+05 +1.204502619e+05 -3.9816e+00 +2.0437e+00 -2.2789e+00 -4.2470e+00 +1.8467e+00 +3.0902e+00 +4.2479e+00 +3.1601e+00 +4.1093e+00 +4.2984e-01 +2.5471e+00 -2.9769e-01 +2.0106e+00 -2.7268e+00 -2.8741e+00 +2.6734e+00 +3.7679e+00 +4.2597e+00 -6.0741e-01 +3.0149e-01
6 +7.355734408e+04 +7.355734408e+04 +7.376572408e+04 +7.376572408e+04 -3.3068e+00 -4.5237e-01 -2.6897e-01 -2.0439e-01 -4.7342e-01 +2.9562e+00 -3.1621e-01 +4.8702e+00 -7.1041e-01 -2.5203e+00 -1.1262e+00 +4.4323e+00 -4.1274e+00 -4.9827e+00 +3.3007e+00 -7.3870e-01 +1.9072e+00 +3.1484e+00 +3.7099e+00 -1.0601e+00
8 +6.936494252e+04 +6.936494252e+04 +6.957332252e+04 +6.957332252e+04 +1.6374e+00 +1.9854e+00 +1.2958e+00 -4.7428e+00 -1.7941e+00 +8.3918e-01 -3.8204e+00 +4.0324e+00 -6.5957e-01 -2.3263e+00 -3.3891e+00 +4.7454e+00 -3.1642e+00 +3.7702e-01 +8.5167e-01 -4.3472e-01 -4.6094e-01 +2.3771e+00 +2.3176e+00 +4.1254e+00
65 +6.331339139e+04 +6.331339139e+04 +6.352177139e+04 +6.352177139e+04 +5.1712e-01 +2.1154e+00 +3.5044e-01 -4.3852e+00 +2.5005e+00 -4.5129e+00 +4.6473e+00 +1.3084e+00 -4.1108e+00 +1.8782e+00 -2.6814e+00 +2.3999e+00 +1.2653e+00 +1.6341e+00 +1.8129e-01 -9.1597e-01 +2.5768e+00 +4.9424e+00 +6.5853e-01 +1.4291e+00
116 +4.510021950e+04 +4.510021950e+04 +4.530859950e+04 +4.530859950e+04 +3.6202e+00 -4.2169e+00 -1.1782e+00 +1.5952e+00 +2.2933e+00 +7.3283e-01 -1.7583e+00 -1.2891e+00 -5.8041e-01 -1.8565e+00 +1.2835e+00 +3.7026e-01 -1.3301e+00 -3.2331e+00 +5.9618e-01 -2.9170e+00 +1.1769e+00 +3.6756e+00 -2.0751e+00 +1.4719e-01
155 +3.140054718e+04 +3.140054718e+04 +3.160892718e+04 +3.160892718e+04 -1.2877e+00 +3.5738e+00 -4.1314e+00 +3.3051e+00 +1.1055e+00 +3.6898e+00 -7.3890e-01 +2.3648e+00 +1.5759e+00 +7.9668e-01 +4.3232e+00 -2.4450e+00 +1.4163e+00 -4.4396e+00 +1.8886e+00 -3.4615e+00 +1.3416e+00 +2.4426e+00 -5.3052e-01 +1.7180e+00
615 +2.883977673e+04 +2.883977673e+04 +2.904815673e+04 +2.904815673e+04 -1.6046e-01 +3.0684e+00 -3.3852e+00 -2.2440e+00 -4.3312e+00 +9.3019e-01 +1.4199e+00 +5.8616e-01 -2.4705e+00 +1.4866e+00 +2.9142e+00 +7.3530e-01 -3.3021e+00 -3.0232e+00 +1.8179e+00 +2.3871e-01 +1.2044e+00 +4.2808e-01 -8.7019e-01 +1.9281e+00
1109 +1.701837151e+04 +1.701837151e+04 +1.722675151e+04 +1.722675151e+04 -2.2713e+00 +1.9917e+00 +2.9728e+00 -1.4065e+00 +3.0805e+00 +1.8031e+00 +4.0880e+00 +8.5830e-01 -2.3449e+00 +2.2967e+00 +4.6719e+00 +2.2894e+00 -1.4512e+00 +8.7684e-01 +1.3331e+00 -1.3539e+00 +3.1653e+00 -4.5515e-01 +1.6367e+00 +1.6529e-01
5361 +1.602638090e+04 +1.602638090e+04 +1.623476090e+04 +1.623476090e+04 -2.1034e+00 +3.6647e+00 +9.7704e-02 +1.0931e+00 +3.2023e-01 -2.4815e+00 +4.7546e+00 -8.1619e-01 +1.8455e+00 +2.1295e+00 -3.2885e-01 +2.3760e+00 -1.1265e+00 -2.6661e+00 +1.4847e+00 -1.5389e+00 +3.2314e+00 +3.3414e+00 +1.8425e+00 +3.0625e-01
11743 +1.580881936e+04 +1.580881936e+04 +1.601719936e+04 +1.601719936e+04 +1.7701e+00 +2.3990e+00 +3.4717e+00 -1.6278e-01 +4.0742e+00 -1.7280e-01 +4.7955e+00 +2.6505e+00 +2.5314e+00 +2.6524e+00 -7.0804e-01 +5.4383e-01 -3.5062e+00 +1.4141e+00 +1.0309e-01 -1.9210e+00 +1.5888e+00 +1.9584e+00 +1.6815e+00 -5.1213e-02
21764 +1.301712746e+04 +1.301712746e+04 +1.322550746e+04 +1.322550746e+04 +1.1517e+00 +4.7798e+00 +1.2214e+00 +3.1497e+00 -5.2946e-01 +3.1883e+00 -2.4090e+00 +2.7519e+00 -3.3437e+00 -1.2038e+00 +3.4304e+00 +5.3435e-01 +1.2864e-01 +6.2050e-01 +1.7209e+00 -6.7433e-01 +6.3630e-03 +4.4193e-01 -8.5404e-02 +1.4604e+00
57172 +5.555481261e+03 +5.555481261e+03 +5.763861261e+03 +5.763861261e+03 +8.9066e-01 -2.1560e+00 +4.4191e+00 -3.7050e-01 -1.4525e+00 +2.5098e+00 +2.7556e+00 -8.0882e-01 +3.5342e-01 +3.8449e+00 -1.1306e+00 +2.3772e+00 -8.2164e-01 -7.7464e-01 +2.8542e-01 -1.9057e+00 +3.1412e+00 -4.4747e-01 +2.2090e+00 +2.1599e+00
134818 +4.439412933e+03 +4.439412933e+03 +4.647792933e+03 +4.647792933e+03 -1.5447e+00 +1.3607e+00 -1.2259e+00 +2.1755e+00 -2.4566e+00 +1.5865e+00 +3.4108e+00 +1.4115e+00 -1.6432e+00 +2.8914e+00 -4.1553e-01 +5.8654e-03 -1.4028e+00 -2.1886e+00 +1.4932e-01 -8.4657e-01 -1.9768e-01 +5.7887e-01 +2.2103e+00 +1.1987e+00
1290597 +4.164592438e+03 +4.164592438e+03 +4.372972438e+03 +4.372972438e+03 +2.7598e+00 -8.4008e-01 +2.4591e+00 +1.0943e+00 -4.3812e-01 +2.6037e+00 -2.4388e-01 +2.3825e-01 +1.2565e+00 +2.4925e+00 +2.6395e+00 +1.9849e+00 +2.3555e-01 -1.8164e+00 +2.3345e+00 -2.9141e+00 +2.4171e+00 +1.6962e+00 +7.1781e-02 +1.3334e+00
2237089 +3.940342072e+03 +3.940342072e+03 +4.148722072e+03 +4.148722072e+03 +3.6209e+00 +8.4606e-01 +3.5191e+00 -4.5463e-01 +2.2675e+00 +2.5624e+00 +3.7555e-01 +3.3013e+00 +1.9943e+00 +3.4462e+00 -1.0820e-01 +2.9907e+00 -1.2833e+00 -2.9616e+00 +1.9913e+00 -6.7628e-01 +2.7196e-01 +2.6120e+00 -6.8785e-02 +2.5115e+00
2602317 +2.039194365e+03 +2.039194365e+03 +2.247574365e+03 +2.247574365e+03 -8.4379e-01 +9.2078e-01 -2.0590e+00 -1.1074e+00 +2.5408e+00 -6.2442e-01 +1.9836e+00 +2.8128e+00 +1.3050e-01 +4.0823e+00 +1.5169e+00 +7.8165e-01 -4.0877e-01 -2.7693e+00 +1.7502e+00 -7.6553e-01 +9.3089e-01 +2.5409e+00 +1.5023e+00 +2.4197e+00
2922753 +1.452816971e+03 +1.452816971e+03 +1.661196971e+03 +1.661196971e+03 +1.1194e-01 +3.6516e+00 -3.0666e+00 -9.1000e-01 +2.8039e+00 +1.0552e+00 +2.9104e+00 +1.4024e+00 +3.7123e-01 +2.7122e-01 -1.4612e-01 +3.1739e+00 -1.6100e+00 -2.2788e+00 +1.1526e+00 -1.3187e+00 +2.6127e-01 +1.2458e+00 +1.2525e+00 +2.7605e+00
122516971 +1.250408129e+03 +1.250408129e+03 +1.458788129e+03 +1.458788129e+03 +3.5634e+00 -3.2884e-01 +3.6625e+00 -4.5924e-01 +2.7235e+00 +2.4131e+00 +2.5593e+00 +4.5073e-01 -4.5414e-01 +3.1811e+00 +7.7117e-01 +1.2362e+00 -6.6292e-01 -5.7358e-02 +9.7291e-01 -3.6586e-01 +1.7687e+00 +2.0212e+00 +4.5777e-01 +2.3823e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.182789497e+05 +2.182789497e+05 +2.181339897e+05 +2.181339897e+05 -4.5131e-01 -3.6329e+00 -1.6087e+00 +4.9851e+00 -3.0094e+00 -3.6955e+00 -9.9637e-01 +3.5845e+00 +5.3963e-01 -1.5442e+00 +1.5964e+00 -3.2864e+00 -3.6462e+00 -3.7698e-01 +5.2994e-01 -2.1741e+00 -3.0036e+00 +4.0780e+00 -2.1096e+00 -1.2569e+00
2 +9.116403792e+04 +9.116403792e+04 +9.101907792e+04 +9.101907792e+04 -1.6153e+00 -3.5665e+00 -1.5466e+00 -1.6133e+00 -3.2959e+00 +2.8536e-01 +4.8972e+00 +2.6932e+00 -4.9937e+00 +4.2463e+00 +8.8198e-01 +4.5282e+00 +4.6016e+00 -6.9563e-01 +1.1550e+00 +3.6010e+00 -3.2473e+00 -3.2980e+00 +3.6488e+00 +1.6512e+00
13 +3.611773185e+04 +3.611773185e+04 +3.597277185e+04 +3.597277185e+04 -2.6581e+00 -6.1352e-02 -4.9112e+00 -2.9680e+00 +4.6718e+00 +2.3866e+00 -3.8922e+00 +3.6356e+00 +3.4104e+00 +1.0232e+00 +4.6241e+00 -1.4544e+00 +2.6128e+00 -8.1018e-01 +1.7922e+00 +2.6350e+00 -4.8713e-01 -1.1072e+00 +2.3436e+00 -3.7572e+00
205 +2.649542778e+04 +2.649542778e+04 +2.635046778e+04 +2.635046778e+04 -2.9186e+00 +3.8466e+00 +3.0903e+00 -7.1523e-01 +8.1058e-01 +3.9171e+00 -4.5573e-01 -3.2809e-01 +1.4120e+00 +2.5509e+00 -3.8994e+00 +9.3968e-01 -3.3963e-01 +1.3999e+00 +6.2672e-01 +8.9201e-02 -2.8241e-01 -6.3942e-02 +1.5480e+00 -2.1713e+00
2302 +2.499309272e+04 +2.499309272e+04 +2.484813272e+04 +2.484813272e+04 -1.7573e+00 +1.5053e+00 +1.9489e+00 -4.9883e+00 +3.0032e+00 +3.1791e+00 +2.0783e-01 +3.2568e+00 -3.4322e+00 +2.9733e+00 -9.1351e-01 +3.6654e-01 +2.7826e+00 -2.5013e+00 +4.5927e+00 -4.5195e-02 -2.1962e+00 -1.5033e+00 +1.0877e+00 +3.1382e-01
4020 +1.780709615e+04 +1.780709615e+04 +1.766213615e+04 +1.766213615e+04 +4.7077e+00 +1.1356e+00 +1.3810e+00 +2.8121e+00 +5.4536e-02 +8.4180e-01 -3.9863e+00 +3.5988e-01 +1.7715e-01 +1.3280e+00 -9.8395e-01 +7.7486e-01 +1.1596e+00 +3.8407e+00 +6.1396e-01 +2.0018e+00 -1.1764e+00 -7.3016e-01 +2.7013e+00 +9.0405e-01
4334 +1.306668666e+04 +1.306668666e+04 +1.292172666e+04 +1.292172666e+04 -3.3314e+00 -4.9202e+00 -1.0760e+00 -1.2189e+00 -3.0102e+00 +2.2029e+00 -9.4717e-01 +4.7172e+00 -1.1071e+00 +2.9026e+00 +2.6423e+00 +1.7466e+00 +3.5234e+00 -1.0333e+00 +7.6702e-01 +8.5689e-01 -1.7786e+00 -1.0302e-01 +3.2746e+00 -1.2617e+00
19963 +1.196607807e+04 +1.196607807e+04 +1.182111807e+04 +1.182111807e+04 -2.2854e+00 +4.0964e+00 -1.4487e+00 -9.8107e-01 -3.0118e+00 -1.6237e+00 +8.1093e-01 -8.1737e-01 +3.6215e-01 +1.3818e+00 +3.3452e+00 -1.9369e-02 +2.5280e+00 +2.9256e+00 +3.3917e+00 +6.5350e-01 -2.5077e+00 -1.7434e+00 +1.6271e+00 -3.3075e+00
51251 +7.774307476e+03 +7.774307476e+03 +7.629347476e+03 +7.629347476e+03 -2.2997e+00 +1.5420e+00 +1.0058e+00 -1.0389e+00 +1.2979e+00 +2.2254e+00 +1.2037e+00 +1.4248e+00 -7.6306e-01 -1.5187e+00 +1.4232e+00 -2.8174e-01 +2.5073e+00 -1.0452e+00 +1.5808e+00 +3.0995e+00 -1.1521e+00 -7.6109e-01 +7.2722e-01 -1.7999e-01
76618 +6.992776041e+03 +6.992776041e+03 +6.847816041e+03 +6.847816041e+03 +2.1406e+00 +1.6817e+00 -3.8716e+00 -3.8420e+00 -2.7166e+00 +1.6871e+00 -2.0132e+00 -1.5455e+00 -2.1646e+00 -2.3742e+00 +3.2424e+00 +2.3784e+00 -1.6255e-03 +5.0668e-01 +1.8022e+00 +1.9910e+00 -1.9994e+00 -2.1938e+00 +1.9611e+00 -1.3528e+00
