% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
432 +7.365282418e+02 +7.365282418e+02 +8.065582418e+02 +8.065582418e+02 -4.2367e+00 -2.1814e+00 -1.5360e+00 +3.0287e+00 +1.4025e+00 -4.1118e+00 +6.3769e-01 -1.5405e+00 -2.1261e+00 -4.1353e-01 +3.2860e+00 -5.6152e-01 +1.5143e+00 -3.4059e+00 +7.7680e-01 +1.4497e+00 -3.7816e+00 +9.7312e-01 -7.7739e-01 +4.0381e+00
469 +6.926010724e+02 +6.926010724e+02 +7.626310724e+02 +7.626310724e+02 +5.7946e-02 -2.0301e-01 -1.4570e+00 +3.9626e+00 -1.0489e+00 -2.7413e+00 -1.2547e+00 +2.3554e-01 -3.4304e+00 -4.7419e+00 +2.9589e+00 -3.3983e+00 +4.4953e+00 +2.1527e+00 -8.9027e-01 -3.8466e-01 +2.1464e+00 +3.0613e+00 -3.7518e+00 +2.7359e+00
652 +6.653106675e+02 +6.653106675e+02 +7.353406675e+02 +7.353406675e+02 -1.0182e+00 -1.9224e+00 -4.3171e+00 +2.5053e+00 +3.0727e+00 -2.1647e+00 +1.8296e-01 +9.5557e-01 +7.2951e-01 +5.2266e-01 -4.5682e-01 -2.1387e+00 +3.5817e+00 -1.5083e-01 +3.1947e+00 -4.5686e+00 -2.1617e+00 +2.3125e+00 -1.5253e+00 -4.4055e+00
1231 +6.279048322e+02 +6.279048322e+02 +6.979348322e+02 +6.979348322e+02 -1.1362e-01 -9.8930e-01 -2.2532e+00 -2.7188e+00 +1.2038e-01 -4.3998e+00 +3.2526e-01 +2.8874e+00 -4.9596e+00 +2.4853e+00 -3.6309e+00 -1.5574e+00 +4.2900e+00 -2.4475e+00 +1.1654e+00 +1.9322e-01 -4.4720e+00 +1.0875e+00 -4.3096e+00 -1.7680e+00
1291 +5.731625817e+02 +5.731625817e+02 +6.431925817e+02 +6.431925817e+02 -2.1852e+00 -3.6110e+00 -4.9343e+00 +4.1958e+00 -3.9056e+00 -4.5794e+00 +1.2953e+00 -2.2632e+00 +2.0531e-01 -2.4892e+00 -1.8785e+00 -4.0458e-01 +1.2485e+00 -3.8040e+00 -2.1343e+00 -4.2251e+00 +2.2049e+00 -8.0208e-01 -3.9156e+00 +1.4127e+00
3290 +5.304038268e+02 +5.304038268e+02 +6.004338268e+02 +6.004338268e+02 -2.1678e+00 -1.8285e-01 -2.5531e+00 -2.0790e+00 +1.2793e+00 -4.3763e+00 -2.6000e+00 +3.9057e+00 +3.8225e-01 +7.5606e-01 +4.2094e+00 +7.1208e-01 +4.3706e+00 -7.4112e-02 -3.4821e+00 -4.9475e+00 -2.8981e+00 -2.4986e+00 -4.3219e+00 +2.2617e+00
5663 +4.755755374e+02 +4.755755374e+02 +5.456055374e+02 +5.456055374e+02 -1.1223e+00 -2.1614e+00 +9.3406e-01 +1.6421e-02 +6.4811e-01 -4.9014e+00 -4.6281e+00 -1.1007e+00 -3.4318e+00 +2.9904e+00 +6.0581e-02 -2.6779e+00 +3.6422e+00 -2.1367e-01 +3.4104e+00 -3.6471e+00 -7.2196e-03 +3.9233e+00 -2.7013e+00 +5.2105e-01
43271 +4.109953927e+02 +4.109953927e+02 +4.810253927e+02 +4.810253927e+02 -2.2669e+00 -2.7075e+00 -1.8630e+00 -4.4655e+00 +1.6898e+00 -3.0942e+00 -1.9639e+00 +4.4253e+00 -3.2455e+00 -4.7305e-01 -1.7392e+00 -2.8497e+00 +3.6692e+00 +1.1263e+00 -3.0164e+00 -2.9988e+00 -4.2179e-01 +2.6658e+00 -1.7767e+00 +2.5877e+00
62625 +3.304388551e+02 +3.304388551e+02 +4.004688551e+02 +4.004688551e+02 -2.1029e+00 -3.3937e+00 -1.1334e+00 +1.9465e+00 +3.9041e-01 -9.4594e-01 -1.2432e+00 +1.1673e+00 +7.3375e-02 -8.7514e-01 -2.9147e+00 -3.2229e+00 +2.7683e+00 -2.6631e+00 -4.4437e-01 -2.8110e+00 +3.0426e+00 +1.6404e+00 -4.3024e+00 +1.6365e+00
4126578 +3.177055439e+02 +3.177055439e+02 +3.877355439e+02 +3.877355439e+02 +1.8036e+00 -2.6894e+00 -2.8786e+00 -3.3995e-01 -2.0136e+00 -2.2609e+00 -1.5496e+00 +1.4874e+00 -3.1668e+00 -3.4754e+00 -6.1829e-01 -2.1585e+00 +1.3811e+00 -4.3258e+00 -1.2208e+00 -4.2936e+00 +1.8372e+00 +2.6906e+00 -4.0350e+00 +6.7943e-01
8011397 +2.951346128e+02 +2.951346128e+02 +3.651646128e+02 +3.651646128e+02 -3.7630e+00 -3.6691e+00 -1.6152e+00 -1.9970e+00 -6.0186e-01 -2.6713e+00 +2.0079e-01 +7.6677e-01 +3.9885e-01 -8.3250e-01 -2.7862e+00 -1.6647e+00 +4.6440e+00 +3.4445e-01 -1.8788e+00 +8.7462e-01 -7.3793e-01 +2.3330e+00 -3.6930e+00 +2.2707e+00
17705706 +2.762418175e+02 +2.762418175e+02 +3.462718175e+02 +3.462718175e+02 -2.5545e+00 -4.1322e+00 -4.6454e+00 +1.0235e+00 -1.3789e+00 -3.8548e+00 +1.1852e+00 +2.0615e+00 -1.4513e+00 -1.3562e+00 -2.1601e+00 -3.0260e+00 +3.6207e+00 -4.0993e+00 +2.0505e+00 +9.6537e-02 +8.9619e-01 +3.4850e+00 -2.0728e+00 +2.3185e+00
50999667 +2.651748667e+02 +2.651748667e+02 +3.352048667e+02 +3.352048667e+02 -1.2871e+00 -4.7762e+00 -3.7455e+00 -2.1545e+00 -3.1375e-01 -4.1612e+00 +2.3479e-01 +1.4255e+00 -1.4552e+00 -2.2742e+00 -2.9464e+00 -2.9069e+00 +4.9441e+00 -3.2344e+00 +1.4356e-01 -1.6656e+00 +1.4048e+00 +4.8887e+00 -1.3258e+00 +1.4747e+00
88821872 +2.621566414e+02 +2.621566414e+02 +3.321866414e+02 +3.321866414e+02 -6.0796e-01 -2.2824e+00 -2.7005e+00 -1.0751e+00 +1.8548e+00 -4.2027e+00 +2.6644e-02 +1.3210e+00 -4.4379e+00 +3.6979e+00 -2.6851e+00 -2.9753e+00 +7.9383e-01 -1.0438e+00 -2.2366e+00 -1.0894e+00 -1.2324e+00 +3.4420e+00 -2.2595e+00 +3.8956e+00
130255955 +2.568778030e+02 +2.568778030e+02 +3.269078030e+02 +3.269078030e+02 +2.7569e-01 -4.8685e+00 -4.4061e+00 -1.7694e+00 -3.7022e+00 -4.6858e+00 -1.2080e+00 +2.2622e+00 -4.3786e+00 -2.0914e+00 +2.5003e-01 -3.9913e-01 +1.1408e+00 -4.1322e+00 -1.5223e+00 -3.3002e+00 +2.2550e+00 +1.4086e+00 -3.7079e+00 +1.6272e+00
159562456 +2.356823255e+02 +2.356823255e+02 +3.057123255e+02 +3.057123255e+02 -3.1017e+00 -3.3699e+00 -4.8292e+00 -3.7975e+00 +8.2653e-01 -2.3822e+00 +8.3428e-01 +3.2169e+00 -2.9433e+00 +1.9610e+00 -9.4741e-01 -2.4612e+00 +2.0116e+00 -4.3360e+00 -2.2405e+00 -1.8193e+00 +1.4680e-01 +2.9122e+00 -1.8064e+00 +4.5379e+00
179598326 +1.638034931e+02 +1.638034931e+02 +2.338334931e+02 +2.338334931e+02 +3.4522e-01 -3.2590e+00 -4.2081e+00 -1.2996e+00 +1.9873e+00 -3.7822e+00 -1.5778e+00 +3.1094e-01 -3.5697e+00 -9.1750e-01 -2.0369e+00 -9.9866e-01 +4.3545e+00 -3.7343e+00 -3.7640e+00 -2.8860e+00 +2.6964e-01 +3.6407e+00 -2.9905e+00 -1.0369e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.466291857e+03 +4.466291857e+03 +4.418071857e+03 +4.418071857e+03 +4.6712e+00 +4.9723e+00 -8.6424e-01 -2.6054e+00 +2.6650e+00 +2.4590e+00 -4.5998e+00 +2.6849e+00 +1.7579e+00 +1.4540e+00 +4.7998e+00 +2.6337e+00 -1.1101e+00 -7.7787e-01 +2.4550e+00 +1.2676e+00 +1.6695e+00 +3.2889e+00 +3.6087e+00 -2.3934e+00
3 +1.009901089e+03 +1.009901089e+03 +9.616810889e+02 +9.616810889e+02 -3.3450e+00 -3.0059e+00 -4.7611e+00 +5.9973e-01 +2.2584e+00 +2.3753e+00 -3.9755e+00 +4.4373e+00 +1.7634e+00 +1.3910e+00 -3.0496e-01 -2.7938e+00 +4.7725e+00 +7.2337e-01 +1.4827e+00 -3.8295e+00 -1.7136e+00 -2.1826e+00 +1.7515e+00 +3.5451e+00
15 +9.892936300e+02 +9.892936300e+02 +9.410736300e+02 +9.410736300e+02 +1.0059e-01 -3.1896e+00 +2.4729e-01 -4.9325e-01 -1.6608e+00 +4.0401e+00 -4.5135e+00 +3.8905e+00 -3.8394e+00 +1.7439e+00 +4.0983e+00 -3.1552e+00 -8.6588e-02 -4.5764e+00 +1.5273e+00 +2.1714e+00 +9.5184e-01 -4.1249e+00 -4.1222e+00 -1.0371e+00
18 +7.263480743e+02 +7.263480743e+02 +6.781280743e+02 +6.781280743e+02 -2.6654e+00 +1.2278e+00 +6.8869e-01 +3.7190e+00 -1.0593e+00 -1.4113e+00 -1.9254e+00 -9.4496e-01 -2.8098e+00 +4.8552e+00 +3.2780e-01 +5.9080e-01 +3.5180e-01 -1.1342e+00 -4.6875e+00 +1.6483e+00 -1.1689e+00 +7.0980e-01 +4.0999e-01 -1.7211e+00
170 +6.551417844e+02 +6.551417844e+02 +6.069217844e+02 +6.069217844e+02 -1.1555e+00 -2.5838e+00 +1.0549e-01 -8.5373e-01 -3.4609e+00 -1.7541e+00 -3.8286e+00 +1.7690e+00 -3.7202e+00 +3.4151e+00 -1.6203e+00 -1.7457e+00 +2.1627e+00 +1.5553e+00 -4.1714e+00 +1.6675e+00 +2.1487e+00 +1.3097e+00 +4.6577e+00 +2.5899e+00
421 +6.362191014e+02 +6.362191014e+02 +5.879991014e+02 +5.879991014e+02 -8.1958e-01 -3.9871e+00 -3.2578e+00 +1.7528e+00 -2.0887e+00 +2.2566e+00 +1.5402e+00 -1.8507e+00 -2.7016e+00 +4.0601e+00 -4.9765e+00 -3.7933e+00 -1.6720e+00 +2.9835e+00 -3.1715e+00 -3.4418e+00 -2.0085e+00 -3.9531e+00 -1.4565e+00 +6.9890e-02
2183 +6.149813298e+02 +6.149813298e+02 +5.667613298e+02 +5.667613298e+02 -1.2728e+00 +4.7264e+00 -1.0638e+00 -1.7881e-01 -3.2568e+00 +4.4456e+00 -4.8573e+00 -2.9846e+00 -3.9066e+00 +1.8365e+00 -1.1099e+00 -9.6966e-01 -3.3934e+00 +1.1100e+00 +2.7075e-01 +2.7384e-01 -2.9390e+00 +2.7162e+00 -1.4080e+00 +1.2916e+00
2278 +5.953520111e+02 +5.953520111e+02 +5.471320111e+02 +5.471320111e+02 -3.4509e+00 +2.2169e-01 +3.5420e+00 -5.5019e-01 -3.2675e+00 +1.9457e+00 -4.3667e+00 -2.2190e+00 -2.6442e+00 +1.2683e+00 -1.8330e+00 -2.7615e+00 -1.9219e+00 +3.3840e+00 -1.4918e+00 -1.2699e+00 -1.7283e+00 +4.4645e+00 +4.1103e+00 +2.6051e+00
4207 +5.883939038e+02 +5.883939038e+02 +5.401739038e+02 +5.401739038e+02 -1.1675e+00 -3.1010e+00 -4.5489e+00 +1.3717e+00 -4.2944e+00 +3.7681e+00 -4.9911e-01 +3.4996e+00 -2.8759e+00 +3.0193e+00 +4.6856e+00 -3.8672e+00 -1.3231e+00 +3.1348e+00 +1.0769e-02 +1.2507e+00 -4.8129e+00 -1.3238e+00 -3.9597e+00 -3.0484e-02
5618 +5.477662036e+02 +5.477662036e+02 +4.995462036e+02 +4.995462036e+02 -4.7697e+00 -4.8705e+00 -4.9426e+00 -1.5564e+00 -4.7895e+00 +1.3552e+00 -2.3285e+00 +1.1547e+00 -4.8748e+00 +4.0469e+00 +1.6033e+00 -5.3571e-01 -2.0835e+00 -9.1639e-01 -1.4622e+00 +3.6698e-01 -3.0767e+00 -1.9416e+00 -1.9196e+00 +8.3396e-01
7774 +4.976465649e+02 +4.976465649e+02 +4.494265649e+02 +4.494265649e+02 -1.8668e+00 +4.4015e-01 -3.2990e+00 +1.8764e+00 +5.6673e-02 +4.9042e+00 -3.9577e+00 +5.5209e-01 -4.3301e+00 +4.4100e+00 +4.8582e+00 -1.8574e+00 +5.0235e-01 +2.1252e+00 -3.8177e+00 -2.0951e+00 -2.6400e+00 -6.1498e-01 -3.2712e+00 +1.1463e-01
8402 +4.698472075e+02 +4.698472075e+02 +4.216272075e+02 +4.216272075e+02 -1.8198e+00 -8.7581e-01 -8.6920e-01 -1.2954e+00 -4.9229e+00 +3.3456e+00 -3.0044e+00 +3.2566e+00 -1.7742e+00 -3.2477e-01 +3.9075e+00 -2.6651e-01 -4.3107e+00 +3.1661e+00 -3.0334e+00 -3.6127e-02 -8.2407e-01 -1.0978e+00 +3.3476e+00 -1.2721e+00
13057 +4.576010401e+02 +4.576010401e+02 +4.093810401e+02 +4.093810401e+02 -3.7128e+00 +1.4881e+00 -4.2114e+00 -3.2484e+00 -1.8856e+00 +3.3260e+00 -1.7274e+00 +2.3694e+00 -7.4747e-01 +4.4204e+00 -2.9700e-01 -2.2459e+00 -4.7654e+00 +3.1135e+00 +3.7013e-01 +1.8177e+00 -4.7443e+00 +1.5800e+00 +1.2865e+00 +2.6259e+00
21097 +4.525910079e+02 +4.525910079e+02 +4.043710079e+02 +4.043710079e+02 -3.6016e+00 -1.7055e+00 -6.2724e-01 -2.2642e+00 -4.0845e-01 +3.9347e+00 -4.5752e+00 +1.9007e+00 -1.2245e+00 +2.9700e+00 +4.5250e+00 -3.5090e-01 -4.3860e+00 +4.2278e+00 +2.1748e+00 -5.2687e-01 -2.6955e+00 +3.7576e-01 +4.7090e+00 -1.8240e+00
38931 +3.580809863e+02 +3.580809863e+02 +3.098609863e+02 +3.098609863e+02 -9.7990e-01 -3.2677e+00 -2.9936e-01 +3.5603e-01 -3.9281e+00 +2.8387e+00 -6.7467e-01 +1.6508e+00 -4.1890e+00 +4.3932e+00 -2.0431e+00 -6.6408e-02 -3.3908e+00 -4.0257e-01 -2.3856e+00 -4.3396e+00 -1.5004e+00 +1.2207e+00 +3.7165e+00 +2.7576e+00
617080 +3.487557877e+02 +3.487557877e+02 +3.005357877e+02 +3.005357877e+02 +6.2388e-02 -1.6336e+00 -1.2738e+00 -1.3783e-01 -3.8456e+00 -3.2567e-01 -2.4287e+00 +2.5006e+00 -3.8482e+00 +3.5407e+00 -1.4374e+00 +5.4005e-01 -2.7261e+00 +3.4918e+00 -1.2909e+00 -1.2623e+00 -4.2229e+00 +3.2531e+00 +3.8314e+00 -7.4436e-01
1195965 +3.442574496e+02 +3.442574496e+02 +2.960374496e+02 +2.960374496e+02 +4.7428e-02 +5.2914e-01 -1.3861e+00 -1.0773e+00 -4.3761e+00 +3.2773e+00 -3.9569e+00 +3.6217e+00 -4.1823e+00 +4.8410e+00 +2.5608e+00 -2.5869e+00 -3.8801e+00 +3.9906e+00 -4.9705e+00 +1.0531e+00 -8.1223e-01 +3.9230e-01 +1.8905e+00 +1.3183e+00
1204759 +3.337537982e+02 +3.337537982e+02 +2.855337982e+02 +2.855337982e+02 +1.3115e-01 +5.8073e-01 -2.0789e+00 -2.4107e+00 -2.8524e+00 +4.6569e+00 -2.8245e+00 -4.1930e-01 -3.0591e+00 +2.2872e+00 +2.8248e+00 -8.1559e-01 -7.3829e-01 +4.2674e+00 -2.8234e-01 -3.8920e+00 -2.1429e+00 +1.4313e-01 -1.2100e+00 +9.1797e-01
3649530 +3.134459230e+02 +3.134459230e+02 +2.652259230e+02 +2.652259230e+02 -2.7438e-01 -2.4857e+00 -2.7496e+00 -4.4127e-02 -3.8286e+00 +2.6918e+00 -4.8129e+00 +1.2539e+00 -4.8208e+00 +1.8436e+00 +4.0403e+00 -5.6429e-01 +8.0164e-01 +2.4674e+00 -1.5236e+00 -1.2091e+00 -4.3577e+00 -2.3987e+00 -1.5576e-01 +1.5051e+00
5010850 +2.956313433e+02 +2.956313433e+02 +2.474113433e+02 +2.474113433e+02 +1.2648e+00 -7.8077e-01 -2.6085e+00 +4.9163e-02 -4.0120e+00 +4.2859e+00 -3.1907e+00 +4.0395e-01 -1.8300e+00 +3.9046e+00 +7.9064e-01 -1.6654e+00 -2.1670e+00 +3.3638e+00 -3.4826e+00 +2.6432e+00 -3.4594e+00 -6.7836e-01 +1.0218e+00 -9.5399e-01
6606222 +2.863497416e+02 +2.863497416e+02 +2.381297416e+02 +2.381297416e+02 -2.0983e-01 -7.1286e-01 -4.2006e+00 -2.3252e-01 -2.5291e+00 +2.4685e+00 -2.0826e+00 +6.5257e-01 -1.4449e-01 +4.9708e+00 -2.9297e+00 -3.3660e+00 -1.5528e+00 +1.8232e+00 -3.0920e+00 -2.5900e+00 -2.0388e+00 -1.5224e+00 +2.8625e+00 +1.4620e+00
7006157 +2.560951799e+02 +2.560951799e+02 +2.078751799e+02 +2.078751799e+02 -1.4315e+00 -6.2239e-01 +1.0368e-01 +2.0703e+00 -2.8792e+00 +2.6092e+00 -3.1588e+00 +1.6595e+00 -2.4929e+00 +3.5453e+00 +3.2595e-01 -3.3531e-01 -1.1729e+00 +4.1774e+00 -8.9831e-01 -4.8024e+00 -1.0051e+00 -6.3503e-01 +4.5289e+00 +3.4957e-02
