% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +3.504882592e+05 +3.504882592e+05 +3.494882592e+05 +3.494882592e+05 -1.4392e+00 +4.7995e+00 -2.3302e+00 +1.4673e+00 -4.5250e+00 +4.3210e+00 -1.4914e+00 +2.5424e+00 -1.3940e+00 +3.2641e+00 -2.3331e+00 +3.1038e+00 +1.8081e+00 -2.3008e+00 -3.2830e+00 +1.3495e+00 +4.6372e+00 -1.6576e+00 -3.9297e+00 -4.6724e+00
10 +3.396223397e+05 +3.396223397e+05 +3.386223397e+05 +3.386223397e+05 -9.2642e-01 +6.8438e-01 -1.3825e+00 -2.0029e+00 -7.0773e-01 -3.3284e+00 +2.9487e+00 -4.7935e+00 +1.5346e-01 +9.2941e-01 +8.9420e-01 -3.8286e+00 +2.9279e-01 -3.4106e+00 -7.0471e-01 +3.9501e+00 +2.5374e+00 -4.0495e+00 +2.8434e+00 +4.2989e+00
16 +3.190138165e+05 +3.190138165e+05 +3.180138165e+05 +3.180138165e+05 -5.3446e-01 -3.8664e+00 -4.7022e+00 +1.5267e+00 +2.3300e-01 -1.7554e+00 -3.5657e+00 +1.6304e+00 -9.8465e-01 +3.6506e+00 +1.2163e+00 -3.0962e+00 +2.3705e+00 -2.1932e+00 +2.3834e+00 +2.7521e+00 -4.4706e+00 +8.7502e-01 +4.5910e-01 +1.2085e+00
17 +1.765960231e+05 +1.765960231e+05 +1.755960231e+05 +1.755960231e+05 -3.1425e-01 +9.9069e-01 +4.3629e+00 +4.1633e-01 -3.4522e+00 +2.7300e+00 -5.2951e-01 -1.4637e+00 -4.6830e+00 +4.9257e+00 -9.7116e-01 -6.9854e-01 -4.2194e+00 +1.1019e+00 +1.3443e+00 +1.5011e+00 +8.5199e-01 -4.3121e+00 -3.6539e-01 -4.9202e+00
52 +1.720879833e+05 +1.720879833e+05 +1.710879833e+05 +1.710879833e+05 -4.1378e+00 -1.8123e+00 -1.7606e+00 +7.4331e-01 -4.0255e+00 -4.2716e-01 +1.7428e+00 +1.1622e+00 +2.0558e+00 +4.2215e+00 -3.1076e+00 -2.9588e+00 -4.2747e+00 +1.3003e+00 -1.6765e+00 -3.6220e+00 +2.5498e+00 -4.0458e+00 +7.5405e-01 +2.5923e-01
58 +1.278349207e+05 +1.278349207e+05 +1.268349207e+05 +1.268349207e+05 -3.1522e+00 -1.4862e+00 -1.1609e+00 -3.5763e+00 -4.9183e+00 -4.4264e+00 -3.1012e+00 -2.9370e-01 -4.8846e+00 +7.6339e-01 -1.9912e+00 -2.0560e+00 -3.3253e+00 -2.5665e+00 -3.3940e+00 +1.1629e-01 -1.7070e-01 -8.9222e-01 +4.4256e-01 +3.3147e+00
925 +1.190376865e+05 +1.190376865e+05 +1.180376865e+05 +1.180376865e+05 -3.7846e+00 -3.2400e+00 -2.1273e+00 -2.7484e+00 -1.0851e+00 -6.1030e-01 -3.7895e+00 -4.6238e+00 +1.4651e+00 +1.3190e+00 -3.9574e+00 +1.2349e+00 +2.8759e+00 -4.1158e+00 -1.0800e+00 +2.5579e+00 +8.2248e-01 -3.5273e-01 +2.2016e-01 -1.3650e+00
1524 +1.120511647e+05 +1.120511647e+05 +1.110511647e+05 +1.110511647e+05 -2.4145e+00 -3.1532e+00 +3.0278e+00 -9.1992e-01 -2.0614e+00 +3.6388e+00 -4.5643e+00 -4.2649e+00 +3.2942e+00 -1.1758e+00 -1.8110e-01 +3.9519e-01 +4.3892e-01 -3.5967e+00 +2.0537e-02 -4.1025e+00 -3.9161e+00 -2.4569e+00 -2.3121e+00 -6.3505e-01
1841 +8.723441811e+04 +8.723441811e+04 +8.623441811e+04 +8.623441811e+04 -3.7075e+00 -3.2369e+00 +6.1155e-01 -3.2993e+00 -3.2268e+00 -3.8350e+00 -3.5785e-01 -1.2490e+00 +2.2342e+00 -1.5162e+00 +1.4728e+00 -2.5241e+00 -5.9506e-01 +1.9020e-02 +8.3216e-01 +1.3176e+00 +2.8948e+00 -3.6734e+00 -4.9596e+00 -3.6403e+00
3062 +4.313661793e+04 +4.313661793e+04 +4.213661793e+04 +4.213661793e+04 -4.6755e+00 +3.2191e+00 +2.3994e+00 -1.3061e+00 -1.8798e-01 -1.0587e+00 -2.8114e+00 -3.2082e+00 -7.2564e-03 +3.0226e+00 -2.0587e+00 -4.0914e+00 -2.7420e+00 -9.8863e-02 +5.1162e-01 -4.1509e+00 +1.9125e+00 -6.2130e-01 -1.0912e+00 +7.8034e-01
3063 +3.041395176e+04 +3.041395176e+04 +2.941395176e+04 +2.941395176e+04 -4.1287e+00 +1.6531e+00 -9.3451e-02 -4.7807e-01 -1.9720e+00 -1.6640e+00 -3.6474e+00 -2.2167e+00 -9.5043e-01 +2.3343e+00 -2.3374e+00 -1.6760e+00 +1.8936e+00 -1.1690e+00 -2.1866e+00 -3.5190e+00 -1.2573e+00 -1.4851e+00 -4.3238e+00 -1.3354e+00
33089 +2.357814968e+04 +2.357814968e+04 +2.257814968e+04 +2.257814968e+04 -9.7842e-01 +9.6029e-01 -5.2230e-01 -9.9667e-01 -1.3399e+00 +6.9503e-01 -2.8173e+00 -1.0540e+00 -1.2971e+00 +1.8044e+00 -4.3608e+00 -2.2606e+00 -1.4363e+00 -4.8798e+00 -3.0976e+00 -6.5861e-01 +6.2553e-01 -4.1613e+00 -1.8817e+00 +2.9557e-01
178784 +1.674574945e+04 +1.674574945e+04 +1.574574945e+04 +1.574574945e+04 -2.3551e+00 -2.3920e+00 +1.1033e+00 -1.3439e+00 -3.9082e+00 -1.0300e+00 -3.0214e+00 -2.6719e-01 -6.0773e-01 +2.7217e+00 +5.1763e-01 -3.0559e+00 -9.8640e-01 -3.8762e+00 -7.2444e-01 -3.8278e+00 +7.1987e-01 -4.1078e+00 -3.8492e+00 -4.7498e+00
425849 +1.585904757e+04 +1.585904757e+04 +1.485904757e+04 +1.485904757e+04 -3.3226e+00 +1.5752e+00 +2.7015e+00 -4.4621e+00 -2.2270e+00 -3.0812e+00 -4.4058e+00 -2.8225e+00 -1.5421e+00 +2.8183e+00 -2.8625e+00 -6.2762e-01 +3.3784e-01 -4.5180e+00 +2.0894e+00 -3.3459e-01 +4.1749e-01 -3.1651e+00 -2.8370e+00 +2.2642e-02
1480724 +1.571989925e+04 +1.571989925e+04 +1.471989925e+04 +1.471989925e+04 -3.3889e+00 -6.8900e-01 +2.9461e+00 -2.1949e-01 -2.9003e+00 -6.0908e-01 -2.0747e+00 -3.3248e+00 +2.8798e+00 +2.2397e+00 -1.7911e+00 -1.4449e+00 -2.2062e+00 -2.0333e+00 -1.1589e+00 +4.9346e-01 -4.8062e-02 -3.1413e+00 -1.1626e+00 +3.9989e+00
2134434 +1.170677493e+04 +1.170677493e+04 +1.070677493e+04 +1.070677493e+04 -4.7504e+00 -1.1532e+00 +1.0924e-01 -2.6655e+00 -2.1512e+00 -1.0462e+00 -3.2466e+00 -7.4613e-01 +2.0248e+00 +1.0183e+00 -1.2715e+00 -9.7017e-01 +4.7580e-01 -3.5564e+00 +2.4804e+00 -6.6386e-01 +5.5993e-01 -4.7222e+00 -9.7879e-01 -4.9549e+00
3882372 +1.027408871e+04 +1.027408871e+04 +9.274088714e+03 +9.274088714e+03 -2.4488e+00 -1.1312e+00 +2.0568e+00 -3.8603e+00 -3.2819e+00 -1.6319e+00 -2.0964e+00 -2.8560e+00 +8.1992e-02 +3.7329e+00 +5.9162e-01 -2.4505e+00 +4.0873e-01 -3.3868e+00 -1.4520e+00 -2.6205e+00 +5.4807e-01 -2.5673e+00 -3.6528e+00 -1.9401e+00
4446427 +4.797660114e+03 +4.797660114e+03 +3.797660114e+03 +3.797660114e+03 -2.9330e+00 +1.6195e+00 +1.4146e+00 -3.2865e+00 -1.8325e+00 -1.4237e+00 -3.0170e+00 -8.9200e-01 -9.8120e-01 +2.2342e+00 -1.0994e+00 -3.4506e+00 -4.0082e-01 -2.2987e+00 +2.1722e+00 -1.4928e+00 +2.0537e-01 -4.9233e+00 -1.1903e+00 -1.0034e+00
71416133 +4.736407930e+03 +4.736407930e+03 +3.736407930e+03 +3.736407930e+03 -3.7292e+00 +1.5589e+00 +7.5363e-01 -1.4434e+00 -2.9200e+00 -4.3836e-01 -4.0212e+00 -1.4289e+00 -9.2430e-01 +3.1299e+00 -6.8155e-01 -2.1840e+00 -1.8388e+00 -4.8472e+00 +2.1723e-01 -2.4184e-01 -1.8035e+00 -2.8433e+00 -3.3341e+00 +1.0195e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.850521933e+05 +8.850521933e+05 +8.851508133e+05 +8.851508133e+05 +4.9717e-01 +2.0359e+00 -2.8741e+00 -2.3712e+00 +4.5515e+00 +3.5357e+00 +2.6909e+00 -2.3004e+00 +2.2980e+00 +4.4010e+00 +4.9054e+00 +8.4100e-01 -3.1664e-01 -6.0775e-01 +4.2936e+00 +3.3162e+00 +1.7253e-01 -3.5648e+00 +6.2381e-01 +4.2863e+00
3 +8.433285087e+05 +8.433285087e+05 +8.434271287e+05 +8.434271287e+05 +7.1149e-01 +3.5580e+00 +3.5839e+00 -4.5579e+00 +4.1874e+00 +4.2103e+00 -3.9300e+00 -6.2775e-02 +4.2628e+00 -1.2196e-01 +1.1469e+00 +4.6191e+00 +2.6534e-02 -6.3973e-01 -1.7886e+00 -1.1551e+00 -3.1991e+00 +1.8629e+00 -1.6997e+00 -1.7215e+00
5 +6.094488235e+05 +6.094488235e+05 +6.095474435e+05 +6.095474435e+05 -3.9669e+00 -4.3577e+00 +3.5570e+00 +3.4279e+00 +1.1770e+00 +1.9552e+00 +4.2254e+00 -1.7547e+00 +2.8703e+00 -3.9383e+00 -1.5696e+00 -4.9747e+00 +8.6283e-01 -1.4298e+00 -1.6810e+00 -4.8589e+00 -2.2168e+00 +3.1151e+00 +1.4673e+00 -4.6024e+00
9 +2.878429577e+05 +2.878429577e+05 +2.879415777e+05 +2.879415777e+05 -2.6692e+00 +2.2572e+00 +3.9467e+00 -4.9831e+00 +2.7216e+00 +4.0801e+00 -2.0481e+00 +1.0788e+00 +1.7789e+00 -5.9828e-01 +1.2642e+00 -7.1339e-01 -3.2648e+00 -3.7151e+00 -4.5420e+00 +2.0385e+00 -2.2831e+00 +3.3353e+00 +1.7984e+00 +3.2317e+00
49 +1.813475567e+05 +1.813475567e+05 +1.814461767e+05 +1.814461767e+05 -4.2227e+00 +8.4435e-01 +4.4121e+00 +2.9146e+00 +4.4143e-01 +5.7001e-01 -2.1876e+00 -2.4764e+00 -5.9998e-02 +1.4271e+00 +6.6316e-02 -6.0171e-01 -2.7572e+00 -4.7182e+00 -1.1873e+00 -8.2702e-01 -5.1112e-01 -3.7751e-01 +3.3178e+00 -9.1964e-01
196 +1.357339913e+05 +1.357339913e+05 +1.358326113e+05 +1.358326113e+05 -6.8831e-01 -7.8360e-01 +3.4999e+00 -4.4350e+00 -1.0923e-01 +3.1591e+00 -3.7782e-01 -2.0273e+00 -3.8559e+00 -3.2476e+00 -3.6884e+00 -1.8775e+00 +4.7549e+00 -1.2212e+00 -3.7836e+00 -4.1307e+00 -3.4673e+00 +2.1743e+00 -2.2134e+00 -1.3530e+00
641 +9.693546346e+04 +9.693546346e+04 +9.703408346e+04 +9.703408346e+04 -3.7108e+00 +1.7376e-01 -2.4154e+00 -3.8048e+00 +3.3870e+00 +7.5555e-01 -2.8247e+00 -1.3978e+00 -3.7661e+00 +8.6787e-02 -1.2516e+00 -4.8710e+00 -1.4600e+00 -2.2501e+00 +7.5313e-01 -3.6584e+00 +1.0425e+00 +4.6238e-01 +9.9882e-01 -8.8607e-01
695 +4.568858007e+04 +4.568858007e+04 +4.578720007e+04 +4.578720007e+04 -4.1470e+00 +5.5061e-01 +2.4906e+00 -4.1468e+00 +1.1776e+00 +2.3827e-01 -7.4805e-01 +3.1595e-02 -2.6545e+00 -2.2252e+00 +2.7273e-01 -2.5471e+00 +2.5705e+00 -2.2594e+00 -1.0536e+00 -2.9092e+00 -1.8021e+00 +1.7935e+00 -2.0398e+00 +5.2679e-02
9627 +3.064006982e+04 +3.064006982e+04 +3.073868982e+04 +3.073868982e+04 +3.8081e-01 -4.4628e+00 +2.7111e+00 -2.8745e+00 -2.7770e+00 +1.0422e+00 -4.5021e+00 -2.7741e+00 -3.8158e+00 +1.1187e+00 +1.3639e+00 -4.1724e-01 +2.9875e+00 -4.8766e+00 -4.6843e+00 -3.9196e+00 +1.1021e+00 -1.3184e+00 +3.3757e+00 -1.4484e+00
44798 +2.992122012e+04 +2.992122012e+04 +3.001984012e+04 +3.001984012e+04 +9.0964e-01 +3.0409e-01 -1.3937e+00 -1.9739e+00 +1.1530e+00 -5.4363e-01 -2.0996e+00 -4.4933e+00 -2.3541e+00 -3.7062e+00 -5.0212e-02 -2.5627e+00 +2.9232e+00 -2.7622e+00 -3.6958e+00 -3.5561e+00 +3.4977e-01 +6.1711e-01 +5.7967e-01 +2.9673e+00
228675 +2.045194389e+04 +2.045194389e+04 +2.055056389e+04 +2.055056389e+04 +4.6367e-01 -1.7525e+00 +1.6625e+00 -1.3414e+00 +2.0125e+00 +2.6115e+00 -1.1835e+00 -4.5534e+00 -3.1014e+00 +1.4894e+00 +2.0209e+00 -2.8224e-01 -1.5997e-01 -1.8786e+00 -4.9921e+00 -1.7158e+00 -4.1749e-01 +3.3234e+00 +1.9415e+00 +2.4578e+00
1759252 +1.846301892e+04 +1.846301892e+04 +1.856163892e+04 +1.856163892e+04 -3.6919e+00 -1.3315e-02 +1.7830e+00 -3.1326e+00 +1.4649e+00 +1.7549e+00 -3.8859e+00 -2.1610e+00 -4.5773e+00 -1.0904e+00 +4.4044e-01 -4.0426e+00 -6.6862e-01 -3.7988e+00 -1.6232e+00 -3.3937e+00 +2.6547e+00 +2.4661e+00 +4.7439e+00 +1.9988e+00
3591472 +1.754327251e+04 +1.754327251e+04 +1.764189251e+04 +1.764189251e+04 -2.6751e+00 -1.7236e+00 -8.1816e-01 -2.1637e+00 +6.4325e-02 +4.5885e-01 -1.3559e+00 -4.6503e+00 -1.5905e+00 +3.2172e-01 -1.0577e+00 -8.6493e-01 -1.0695e+00 -4.5641e+00 -1.2894e+00 -2.4548e+00 -9.7326e-01 -1.6010e+00 +7.5599e-01 +4.4662e+00
6322762 +8.692038414e+03 +8.692038414e+03 +8.790658414e+03 +8.790658414e+03 -1.1861e+00 -3.6847e+00 +3.0178e+00 -3.5842e+00 -1.7431e+00 +2.5917e+00 -2.3817e+00 -3.3462e+00 -3.0736e+00 -6.6812e-01 +2.3597e+00 -2.2200e+00 +2.6813e+00 -3.7144e+00 -2.8825e+00 -3.1909e+00 +5.6475e-01 +9.6268e-01 +2.6145e-01 -1.4134e+00
101068913 +6.932049242e+03 +6.932049242e+03 +7.030669242e+03 +7.030669242e+03 -8.6003e-01 -3.1225e+00 +1.4531e+00 -1.6218e+00 -7.2033e-02 +2.1387e+00 -3.5296e+00 -3.0726e+00 -2.2741e+00 -1.5677e+00 +8.9305e-01 -4.1349e+00 +8.3395e-01 -2.3283e+00 -1.1746e+00 -2.4824e+00 -9.8302e-01 +1.9293e+00 +2.8563e+00 +3.5869e+00
111637924 +4.966224993e+03 +4.966224993e+03 +5.064844993e+03 +5.064844993e+03 -1.5569e+00 -3.7312e+00 +2.9599e-01 -3.3612e+00 -1.3645e+00 -1.2836e-02 -3.8665e+00 -2.3873e+00 -2.7145e+00 -9.9607e-01 +1.1310e+00 -3.4907e+00 +2.0372e+00 -2.7239e+00 -1.9404e+00 -2.1292e+00 -3.0619e-01 +9.1908e-01 +6.1395e-01 +1.0444e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.576732738e+05 +6.576732738e+05 +6.576261238e+05 +6.576261238e+05 +2.4921e+00 -2.9352e-01 -1.7662e+00 +5.0734e-01 +3.2933e+00 -3.6182e+00 +2.9540e+00 +4.3816e-01 -4.7380e+00 +4.5013e+00 +5.5256e-01 +3.6666e-02 -4.4844e+00 +1.1975e+00 +3.4453e+00 +2.8123e-01 -9.8431e-02 +7.6500e-01 +1.7157e+00 +3.6095e+00
2 +4.375827818e+05 +4.375827818e+05 +4.375356318e+05 +4.375356318e+05 -3.9856e+00 -4.0808e-01 -2.2125e-01 -2.0567e+00 +2.0275e-01 +2.1104e+00 -3.1543e+00 -4.7084e-01 -4.4278e+00 +6.4831e-01 -3.7309e+00 +1.2891e+00 +2.0190e+00 -4.4159e+00 -3.7284e+00 -4.9163e+00 +1.8470e+00 +2.5414e+00 +2.7082e+00 +1.8899e+00
23 +1.313851888e+05 +1.313851888e+05 +1.313380388e+05 +1.313380388e+05 +1.3216e+00 -1.2932e+00 +1.4792e-01 -3.9067e+00 +4.7611e+00 +2.3222e+00 -4.0092e+00 -6.1224e-01 -1.7719e+00 +7.1560e-01 +1.6458e+00 -1.8989e+00 +4.4204e+00 -2.2288e+00 -1.1032e+00 +1.3851e+00 -2.6960e+00 -3.5444e+00 -3.6910e+00 -3.9641e+00
271 +1.154091640e+05 +1.154091640e+05 +1.153620140e+05 +1.153620140e+05 -9.4033e-02 -3.4723e+00 -2.3319e+00 -4.7622e+00 +2.1410e+00 +1.3820e+00 -3.6291e-02 +2.2991e+00 -4.9322e-01 -1.1579e+00 +4.9044e+00 +1.8240e+00 +3.1812e+00 -3.2871e+00 +5.3255e-01 -3.8989e+00 -2.1206e+00 -8.9375e-01 -6.7579e-01 +5.1201e-01
591 +4.758718910e+04 +4.758718910e+04 +4.754003910e+04 +4.754003910e+04 +2.5848e-01 -1.3800e+00 -2.6812e+00 -1.2001e+00 +1.8344e+00 +3.8543e-02 -1.2765e+00 -2.4006e+00 -3.3855e-01 -1.8731e-02 +4.6052e+00 -4.9524e+00 -3.2278e-01 -2.3134e+00 +2.9919e+00 -1.5331e+00 +1.5134e+00 -3.1646e+00 -1.5728e+00 +3.3475e+00
14206 +3.012693696e+04 +3.012693696e+04 +3.007978696e+04 +3.007978696e+04 -2.1036e+00 -3.0761e-01 +6.8134e-02 -9.2427e-01 -9.3865e-01 +4.9123e-01 -1.1475e+00 -1.0091e+00 -1.6429e+00 -2.5971e+00 -1.2958e-01 -1.0111e+00 +3.7428e+00 -2.3798e+00 +1.5955e+00 +1.2373e+00 -2.3869e+00 -8.5369e-01 +1.5614e+00 +3.7091e+00
15148 +2.783697706e+04 +2.783697706e+04 +2.778982706e+04 +2.778982706e+04 -1.8971e+00 -4.6958e+00 -1.4110e-01 -4.8313e+00 +1.5092e+00 -9.6888e-01 -1.7557e+00 -1.2683e+00 -4.1054e+00 -5.2345e-01 +7.7308e-01 -4.6845e+00 +3.8255e+00 -4.2208e+00 +4.9132e-01 +4.4483e-01 -1.1929e+00 -2.3469e+00 -4.7968e-01 +1.7519e-01
29269 +2.448673448e+04 +2.448673448e+04 +2.443958448e+04 +2.443958448e+04 -1.3798e+00 -4.7389e-01 -7.8233e-01 -3.5138e+00 -2.5430e+00 -1.5477e+00 -4.4028e+00 -1.1698e-01 -5.6730e-01 -1.8465e+00 -1.0858e-01 -2.1815e+00 +3.9772e+00 -3.2907e+00 -2.7789e-01 -3.1634e+00 -3.6571e+00 -4.3297e+00 -1.8918e+00 +9.8417e-01
597514 +1.888179872e+04 +1.888179872e+04 +1.883464872e+04 +1.883464872e+04 -4.2080e+00 -1.7916e+00 -4.1310e+00 -2.3592e-01 +1.5972e+00 +1.3494e+00 -2.6151e+00 -3.6780e+00 -8.1048e-01 -1.8623e+00 +1.8357e+00 -3.5521e+00 +2.2972e+00 -4.6145e+00 +4.4948e+00 -5.1187e-01 -2.1992e+00 -3.2684e+00 -1.6749e+00 +2.9430e+00
2158477 +1.852380269e+04 +1.852380269e+04 +1.847665269e+04 +1.847665269e+04 +2.5128e-01 +9.3461e-01 -2.1715e-01 -1.7313e+00 -5.0009e-02 +2.6016e+00 -2.0981e+00 -1.8889e+00 -1.3980e+00 -1.7234e+00 +4.6029e+00 -1.3424e+00 +2.2257e+00 -4.8373e-01 +3.9878e+00 -3.9894e+00 -2.8328e+00 -2.4098e+00 -1.4744e+00 -3.2054e-01
