algorithm,problem,dimension,run_id,instance,n_points,eval_min,eval_max,final_delta_f,best_delta_f
PSO,f15,20,13,,11,1.0,17930.0,25.01948236,25.01948236
PSO,f15,20,14,,8,1.0,17471.0,99.90231473,99.90231473
PSO,f15,20,15,,10,1.0,14208.0,62.81341562,62.81341562
PSO,f20,20,1,,15,1.0,13372.0,0.9625839563,0.9625839563
PSO,f20,20,2,,22,1.0,31366.0,0.6257751131,0.6257751131
PSO,f20,20,3,,21,1.0,10414.0,1.582224526,1.582224526
PSO,f20,20,4,,17,1.0,10377.0,0.9983148262,0.9983148262
PSO,f20,20,5,,15,1.0,12415.0,0.9999565882,0.9999565882
PSO,f20,20,6,,20,1.0,11259.0,1.580038363,1.580038363
PSO,f20,20,7,,14,1.0,8114.0,1.559397236,1.559397236
PSO,f20,20,8,,19,1.0,8665.0,1.583532054,1.583532054
PSO,f20,20,9,,17,1.0,12628.0,1.581425281,1.581425281
PSO,f20,20,10,,18,1.0,9251.0,1.545702271,1.545702271
PSO,f20,20,11,,17,1.0,22279.0,0.9909235413,0.9909235413
PSO,f20,20,12,,13,1.0,9998.0,1.57347016,1.57347016
PSO,f20,20,13,,17,1.0,15621.0,1.577964603,1.577964603
PSO,f20,20,14,,19,1.0,52703.0,0.9995076522,0.9995076522
PSO,f20,20,15,,22,1.0,11101.0,0.9544820348,0.9544820348
PSO,f24,20,1,,7,1.0,201336.0,63.08898657,63.08898657
PSO,f24,20,2,,7,1.0,210762.0,63.08437489,63.08437489
PSO,f24,20,3,,5,1.0,10290.0,157.8389325,157.8389325
PSO,f24,20,4,,7,1.0,84677.0,63.08277168,63.08277168
PSO,f24,20,5,,6,1.0,1061809.0,98.61124318,98.61124318
PSO,f24,20,6,,9,1.0,321491.0,25.10353149,25.10353149
PSO,f24,20,7,,7,1.0,264513.0,62.99493116,62.99493116
PSO,f24,20,8,,6,1.0,255185.0,99.99998359,99.99998359
PSO,f24,20,9,,6,1.0,288388.0,99.98206659,99.98206659
PSO,f24,20,10,,6,1.0,1095292.0,99.52067284,99.52067284
PSO,f24,20,11,,8,1.0,232416.0,39.8098907,39.8098907
PSO,f24,20,12,,7,1.0,156144.0,63.05739921,63.05739921
PSO,f24,20,13,,6,1.0,128922.0,99.21179731,99.21179731
PSO,f24,20,14,,7,1.0,560854.0,63.09549831,63.09549831
PSO,f24,20,15,,7,1.0,129131.0,63.03746266,63.03746266
RANDOMSEARCH-5,f1,20,1,,21,1.0,136380040.0,17.73549044,17.73549044
RANDOMSEARCH-5,f1,20,2,,15,1.0,183265215.0,17.56353937,17.56353937
RANDOMSEARCH-5,f1,20,3,,19,1.0,109862388.0,21.28842661,21.28842661
RANDOMSEARCH-5,f1,20,4,,21,1.0,10457697.0,24.63562148,24.63562148
RANDOMSEARCH-5,f1,20,5,,16,1.0,94463499.0,19.06910609,19.06910609
RANDOMSEARCH-5,f1,20,6,,24,1.0,96027996.0,15.87498256,15.87498256
RANDOMSEARCH-5,f1,20,7,,15,1.0,166612860.0,22.25635236,22.25635236
RANDOMSEARCH-5,f1,20,8,,15,1.0,74294715.0,22.78662307,22.78662307
RANDOMSEARCH-5,f1,20,9,,20,1.0,24115240.0,18.11298493,18.11298493
RANDOMSEARCH-5,f1,20,10,,23,1.0,105037105.0,19.59961241,19.59961241
RANDOMSEARCH-5,f1,20,11,,12,1.0,36085546.0,24.68234644,24.68234644
RANDOMSEARCH-5,f1,20,12,,20,1.0,124954284.0,19.4834424,19.4834424
RANDOMSEARCH-5,f1,20,13,,21,1.0,89048719.0,22.54051314,22.54051314
RANDOMSEARCH-5,f1,20,14,,13,1.0,194967389.0,20.38578847,20.38578847
RANDOMSEARCH-5,f1,20,15,,20,1.0,173096224.0,23.56280379,23.56280379
RANDOMSEARCH-5,f8,20,1,,14,1.0,162138200.0,4969.498222,4969.498222
RANDOMSEARCH-5,f8,20,2,,21,1.0,71416133.0,4736.40793,4736.40793
RANDOMSEARCH-5,f8,20,3,,16,1.0,111637924.0,4966.224993,4966.224993
RANDOMSEARCH-5,f8,20,4,,14,1.0,81967395.0,6309.52797,6309.52797
RANDOMSEARCH-5,f8,20,5,,25,1.0,8809382.0,7010.882188,7010.882188
RANDOMSEARCH-5,f8,20,6,,25,1.0,198208380.0,5183.490843,5183.490843
RANDOMSEARCH-5,f8,20,7,,22,1.0,66115445.0,3259.034742,3259.034742
RANDOMSEARCH-5,f8,20,8,,11,1.0,573475.0,2547.330464,2547.330464
RANDOMSEARCH-5,f8,20,9,,18,1.0,23793996.0,4931.14428,4931.14428
RANDOMSEARCH-5,f8,20,10,,24,1.0,64410814.0,6964.083668,6964.083668
RANDOMSEARCH-5,f8,20,11,,20,1.0,183187197.0,4053.198057,4053.198057
RANDOMSEARCH-5,f8,20,12,,15,1.0,17149282.0,3983.784203,3983.784203
RANDOMSEARCH-5,f8,20,13,,17,1.0,16675119.0,5570.744161,5570.744161
RANDOMSEARCH-5,f8,20,14,,19,1.0,113240814.0,6951.593386,6951.593386
RANDOMSEARCH-5,f8,20,15,,15,1.0,85960790.0,3835.87937,3835.87937
RANDOMSEARCH-5,f15,20,1,,17,1.0,164245043.0,244.0947476,244.0947476
RANDOMSEARCH-5,f15,20,2,,22,1.0,179598326.0,163.8034931,163.8034931
RANDOMSEARCH-5,f15,20,3,,24,1.0,181584900.0,214.7792575,214.7792575
RANDOMSEARCH-5,f15,20,4,,20,1.0,98977853.0,239.5411994,239.5411994
RANDOMSEARCH-5,f15,20,5,,21,1.0,24829958.0,246.8094183,246.8094183
RANDOMSEARCH-5,f15,20,6,,16,1.0,180765734.0,253.3602339,253.3602339
RANDOMSEARCH-5,f15,20,7,,20,1.0,137158527.0,250.6725681,250.6725681
RANDOMSEARCH-5,f15,20,8,,21,1.0,112580820.0,211.7537951,211.7537951
RANDOMSEARCH-5,f15,20,9,,22,1.0,127643446.0,220.0917616,220.0917616
RANDOMSEARCH-5,f15,20,10,,15,1.0,105079049.0,226.5373402,226.5373402
RANDOMSEARCH-5,f15,20,11,,17,1.0,180915065.0,243.3981281,243.3981281
RANDOMSEARCH-5,f15,20,12,,21,1.0,103154154.0,220.6455214,220.6455214
RANDOMSEARCH-5,f15,20,13,,13,1.0,136283602.0,239.8871679,239.8871679
RANDOMSEARCH-5,f15,20,14,,14,1.0,188500985.0,228.7077188,228.7077188
RANDOMSEARCH-5,f15,20,15,,15,1.0,71512250.0,236.1312209,236.1312209
RANDOMSEARCH-5,f20,20,1,,17,1.0,63758824.0,418.5806534,418.5806534
RANDOMSEARCH-5,f20,20,2,,14,1.0,100345101.0,407.0290298,407.0290298
RANDOMSEARCH-5,f20,20,3,,20,1.0,122516971.0,1250.408129,1250.408129
RANDOMSEARCH-5,f20,20,4,,17,1.0,177625189.0,298.1414078,298.1414078
RANDOMSEARCH-5,f20,20,5,,12,1.0,178452678.0,102.1295953,102.1295953
RANDOMSEARCH-5,f20,20,6,,14,1.0,136725194.0,65.63788331,65.63788331
RANDOMSEARCH-5,f20,20,7,,19,1.0,156377244.0,568.2811784,568.2811784
RANDOMSEARCH-5,f20,20,8,,20,1.0,99228795.0,680.5723106,680.5723106
RANDOMSEARCH-5,f20,20,9,,20,1.0,160805198.0,550.9979432,550.9979432
RANDOMSEARCH-5,f20,20,10,,23,1.0,125144374.0,465.9083288,465.9083288
RANDOMSEARCH-5,f20,20,11,,14,1.0,75833257.0,611.6499993,611.6499993
RANDOMSEARCH-5,f20,20,12,,25,1.0,198080193.0,200.4505343,200.4505343
RANDOMSEARCH-5,f20,20,13,,22,1.0,23955554.0,696.6573701,696.6573701
RANDOMSEARCH-5,f20,20,14,,18,1.0,4565849.0,809.6595784,809.6595784
RANDOMSEARCH-5,f20,20,15,,13,1.0,67666992.0,1095.48063,1095.48063
RANDOMSEARCH-5,f24,20,1,,19,1.0,135604891.0,227.0141901,227.0141901
RANDOMSEARCH-5,f24,20,2,,20,1.0,145691103.0,223.1745046,223.1745046
RANDOMSEARCH-5,f24,20,3,,18,1.0,188182386.0,235.1233646,235.1233646
RANDOMSEARCH-5,f24,20,4,,19,1.0,146651472.0,231.6255696,231.6255696
RANDOMSEARCH-5,f24,20,5,,18,1.0,30287120.0,236.565322,236.565322
RANDOMSEARCH-5,f24,20,6,,13,1.0,15182289.0,231.802405,231.802405
RANDOMSEARCH-5,f24,20,7,,15,1.0,195538622.0,245.3202298,245.3202298
RANDOMSEARCH-5,f24,20,8,,13,1.0,8720312.0,233.6402614,233.6402614
RANDOMSEARCH-5,f24,20,9,,14,1.0,79380738.0,225.3880026,225.3880026
RANDOMSEARCH-5,f24,20,10,,17,1.0,155981707.0,212.8757398,212.8757398
RANDOMSEARCH-5,f24,20,11,,11,1.0,150960103.0,226.0618174,226.0618174
RANDOMSEARCH-5,f24,20,12,,18,1.0,128468191.0,210.6412973,210.6412973
RANDOMSEARCH-5,f24,20,13,,15,1.0,42512354.0,227.7142904,227.7142904
RANDOMSEARCH-5,f24,20,14,,21,1.0,114071262.0,234.6027018,234.6027018
RANDOMSEARCH-5,f24,20,15,,17,1.0,123089413.0,213.4614791,213.4614791
GA,f1,20,1,,28,1.0,277746.0,0.0009913122035,0.0009913122035
GA,f1,20,2,,37,1.0,502481.0,2.503295724e-05,2.503295724e-05
GA,f1,20,3,,29,1.0,339767.0,0.0009937241124,0.0009937241124
GA,f1,20,4,,38,1.0,922819.0,9.361855945e-06,9.361855945e-06
GA,f1,20,5,,31,1.0,382299.0,0.000249258116,0.000249258116
GA,f1,20,6,,22,1.0,192032.0,0.01570108558,0.01570108558
GA,f1,20,7,,28,1.0,311848.0,0.001578174635,0.001578174635
GA,f1,20,8,,31,1.0,391878.0,0.0002506981862,0.0002506981862
GA,f1,20,9,,27,1.0,297114.0,0.001570404353,0.001570404353
GA,f1,20,10,,28,1.0,375023.0,0.000998143039,0.000998143039
GA,f1,20,11,,28,1.0,403771.0,0.0009976686909,0.0009976686909
GA,f1,20,12,,27,1.0,319435.0,0.00152796951,0.00152796951
GA,f1,20,13,,29,1.0,355817.0,0.0009907328713,0.0009907328713
GA,f1,20,14,,33,1.0,452409.0,9.909388262e-05,9.909388262e-05
GA,f1,20,15,,22,1.0,248411.0,0.01581672395,0.01581672395
GA,f8,20,1,,20,1.0,169919.0,24.23776245,24.23776245
GA,f8,20,2,,18,1.0,176013.0,62.24909328,62.24909328
GA,f8,20,3,,23,1.0,212536.0,15.79187634,15.79187634
GA,f8,20,4,,22,1.0,199242.0,15.25029227,15.25029227
GA,f8,20,5,,19,1.0,212786.0,25.0652008,25.0652008
GA,f8,20,6,,24,1.0,233443.0,15.71879941,15.71879941
GA,f8,20,7,,22,1.0,177037.0,24.87945922,24.87945922
GA,f8,20,8,,21,1.0,262418.0,15.83251132,15.83251132
GA,f8,20,9,,23,1.0,163025.0,24.32913232,24.32913232
GA,f8,20,10,,22,1.0,163292.0,24.80603002,24.80603002
GA,f8,20,11,,22,1.0,164694.0,24.99856195,24.99856195
GA,f8,20,12,,23,1.0,219441.0,24.51024282,24.51024282
GA,f8,20,13,,22,1.0,352848.0,15.83268526,15.83268526
GA,f8,20,14,,23,1.0,185197.0,24.72105676,24.72105676
GA,f8,20,15,,21,1.0,248927.0,15.83905669,15.83905669
GA,f15,20,1,,10,1.0,334570.0,25.1125879,25.1125879
GA,f15,20,2,,10,1.0,239989.0,24.99510294,24.99510294
GA,f15,20,3,,11,1.0,290202.0,25.09279734,25.09279734
GA,f15,20,4,,10,1.0,299265.0,39.79192806,39.79192806
GA,f15,20,5,,9,1.0,219261.0,38.55951741,38.55951741
GA,f15,20,6,,10,1.0,226415.0,39.47687813,39.47687813
GA,f15,20,7,,11,1.0,260552.0,25.03967619,25.03967619
GA,f15,20,8,,10,1.0,327220.0,25.0076768,25.0076768
GA,f15,20,9,,11,1.0,235526.0,39.67929963,39.67929963
GA,f15,20,10,,11,1.0,1061221.0,25.01670727,25.01670727
GA,f15,20,11,,10,1.0,325549.0,39.71567625,39.71567625
GA,f15,20,12,,9,1.0,248051.0,39.67280925,39.67280925
GA,f15,20,13,,9,1.0,286116.0,39.66839943,39.66839943
GA,f15,20,14,,10,1.0,183439.0,63.0078701,63.0078701
GA,f15,20,15,,10,1.0,222488.0,39.72189512,39.72189512
GA,f20,20,1,,20,1.0,375123.0,0.397860978,0.397860978
GA,f20,20,2,,18,1.0,217823.0,0.6240560342,0.6240560342
GA,f20,20,3,,21,1.0,215095.0,0.3959332075,0.3959332075
GA,f20,20,4,,20,1.0,199175.0,0.2507317699,0.2507317699
GA,f20,20,5,,20,1.0,233584.0,0.3973804337,0.3973804337
GA,f20,20,6,,24,1.0,183975.0,0.6205919011,0.6205919011
GA,f20,20,7,,20,1.0,242622.0,0.251097526,0.251097526
GA,f20,20,8,,22,1.0,198639.0,0.3903328384,0.3903328384
GA,f20,20,9,,20,1.0,371312.0,0.3795643766,0.3795643766
GA,f20,20,10,,24,1.0,233421.0,0.3953872939,0.3953872939
GA,f20,20,11,,22,1.0,1540718.0,0.394627921,0.394627921
GA,f20,20,12,,21,1.0,177515.0,0.6237859493,0.6237859493
GA,f20,20,13,,21,1.0,247623.0,0.3878815249,0.3878815249
GA,f20,20,14,,23,1.0,176564.0,0.6291852785,0.6291852785
GA,f20,20,15,,24,1.0,206391.0,0.3913292931,0.3913292931
GA,f24,20,1,,8,1.0,349027.0,39.40661995,39.40661995
GA,f24,20,2,,7,1.0,329811.0,63.08406732,63.08406732
GA,f24,20,3,,8,1.0,480754.0,39.76428845,39.76428845
GA,f24,20,4,,6,1.0,192097.0,97.48230186,97.48230186
GA,f24,20,5,,7,1.0,298829.0,62.62700491,62.62700491
GA,f24,20,6,,8,1.0,504318.0,39.75363184,39.75363184
GA,f24,20,7,,6,1.0,206378.0,99.95329106,99.95329106
GA,f24,20,8,,7,1.0,269618.0,62.24651122,62.24651122
GA,f24,20,9,,8,1.0,406099.0,39.70707229,39.70707229
GA,f24,20,10,,8,1.0,485567.0,39.70947589,39.70947589
GA,f24,20,11,,7,1.0,271397.0,62.99566226,62.99566226
GA,f24,20,12,,6,1.0,312816.0,91.38400733,91.38400733
GA,f24,20,13,,6,1.0,325440.0,99.64815944,99.64815944
GA,f24,20,14,,7,1.0,426320.0,63.05554014,63.05554014
GA,f24,20,15,,9,1.0,560956.0,39.74562059,39.74562059
